,Nome,Parte edibile,Acqua,Energia,Energia.1,Proteine totali,Proteine animali,Proteine vegetali,Lipidi totali,Lipidi animali,Lipidi vegetali,Lipidi saturi,Acido oleico,Monoinsaturi totali,Acido linoleico,Acido linolenico,Altri polinsaturi,Polinsaturi totali,Colesterolo,Glucidi dispon.,Amido,Glucidi solubili,Fibra alimentare ,Alcool,Fe,Ca,Na,K,P,Zn,B1,B2,Niacina,Vit. C,Vit. B6,Acido Folico,Retinolo equivalenti,Vit. A,b-carotene,Vit. E,Vit. D,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
378,NOCE MOSCATA,100,10,395,1653,"8,8",0,"8,8",29,0,29,"20,72","1,27","2,57","0,28",0,0,"0,28",0,"26,3",0,"26,3","23,7",0,"9,3",103,16,350,210,"2,2","0,09","0,1","0,5",0,"0,44",0,8,0,48,"2,72",0,,,,
379,NOCI,"48,5","12,75",621,2598,"13,15",0,"13,15","60,7",0,"60,7","4,965","8,355","8,5","30,32","5,92",0,"36,24",0,"5,9","2,25","3,65","5,7",0,"2,35",107,"2,5",529,309,"4,15","0,515","0,135","0,85",0,"0,67",66,7,0,42,"3,85",0,,,,
380,ALGA NORI,100,"8,7",136,569,"30,7",0,"30,7","1,5",0,"1,5","0,33","0,04","0,13","0,02","0,01","0,56","0,59",0,0,0,0,"44,4",0,"19,6",430,790,2840,350,"6,4","0,24","1,34","5,5",14,"0,07",146,2485,0,14910,1,0,,,,
381,OCA,70,"49,1",373,1561,"15,8","15,8",0,"34,4","34,4",0,"9,39",0,"18,6","3,93","0,19",0,"4,12",80,0,0,0,0,0,"1,8",13,61,270,197,"1,7","0,07","0,2","6,4",0,"0,35",8,90,90,0,"1,74","0,5",,,,
382,OLIO DI COCCO,100,0,899,3761,0,0,0,"99,9",0,"99,9","86,8","6,25","6,25","1,6",0,0,"1,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,7",0,,,,
383,OLIO DI COLZA,100,0,899,3761,0,0,0,"99,9",0,"99,9","6,31","55,84","61,52","20,54","9,08",0,"29,62",0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,2",0,,,,
384,OLIO DI GERME DI GRANO,100,0,899,3761,0,0,0,"99,9",0,"99,9","18,5","15,4","16,7","55,1","5,3",0,"60,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"136,7",0,,,,
385,OLIO DI MAIS VITAMINIZZATO,100,0,899,3761,0,0,0,"99,9",0,"99,9","14,96","29,88","30,66","49,83","0,6",0,"50,43",0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,"2,5",0,0,0,0,90,0,,,,
386,OLIO DI OLIVA,100,0,900,3766,0,0,0,100,0,100,"16,16","73,63","74,45","7,85","0,99",0,"8,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,1",0,,,,
387,OLIO DI OLIVA EXTRAVERGINE,100,0,900,3766,0,0,0,100,0,100,"16,16","73,63","74,45","7,85","0,99",0,"8,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,"21,42",0,,,,
388,OLIO EVO,100,0,900,3766,0,0,0,100,0,100,"16,16","73,63","74,45","7,85","0,99",0,"8,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,"21,42",0,,,,
389,OLIO DI OLIVA VITAMINIZZATO,100,0,900,3766,0,0,0,100,0,100,"16,16","73,63","74,45","7,85","0,99",0,"8,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,7",0,800,0,4800,15,15,,,,
390,OLIO DI PALMA,100,0,899,3761,0,0,0,"99,9",0,"99,9","47,1","38,45","38,92","9,28","3,3",0,"12,58",0,0,0,0,0,0,"0,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,1",0,,,,
391,OLIO DI SEMI DI ARACHIDI,100,0,900,3766,0,0,0,100,0,100,"19,39","51,3","52,52","27,87",0,0,"27,87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,2",0,,,,
392,OLIO DI SEMI DI GIRASOLE,100,0,899,3761,0,0,0,"99,9",0,"99,9","11,24","32,91","33,37","49,89","0,33",0,"50,22",0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"49,2",0,,,,
393,OLIO DI SEMI DI MAIS,100,0,899,3761,0,0,0,"99,9",0,"99,9","14,96","29,88","30,66","49,83","0,6",0,"50,43",0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,2",0,,,,
394,OLIO DI SEMI VARI,100,0,900,3766,0,0,0,100,0,100,"10,28","36,98","39,54","39,63","6,74",0,"46,36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,42",0,,,,
395,OLIO DI SESAMO,100,"0,1",898,3757,"0,2",0,"0,2","99,7",0,"99,7","13,15","39,7","40,1","41,9","0,3",0,"42,2",0,0,0,0,0,0,"0,1",10,2,20,0,0,"0,01","0,07","0,1",0,0,0,0,0,0,"29,1",0,,,,
396,OLIO DI SOIA,100,0,899,3761,0,0,0,"99,9",0,"99,9","14,02","22,26","22,76","51,36","7,6",0,"58,96",0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,1",0,,,,
397,OLIO DI VINACCIOLO,100,0,899,3761,0,0,0,"99,9",0,"99,9","9,23",16,"16,39","67,7","0,29",0,"67,99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,9",0,,,,
