Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
m49,Europe,rural,Drinking water,2009,2.86557,5738523.31473,Unimproved
m49,Europe,urban,Drinking water,2009,0.28584,1528291.56338,Unimproved
m49,Europe,total,Sanitation,2010,21.68108,159662296.46036,Basic service
m49,Europe,rural,Sanitation,2010,43.0444,85770224.73238,Basic service
m49,Europe,urban,Sanitation,2010,20.85308,112012962.31648,Basic service
m49,Europe,total,Sanitation,2010,0.93914,6915974.70333,Limited service
m49,Europe,rural,Sanitation,2010,1.00471,2001975.46948,Limited service
m49,Europe,urban,Sanitation,2010,0.91482,4913999.26016,Limited service
m49,Europe,total,Sanitation,2010,0.00601,44242.04128,Open defecation
m49,Europe,rural,Sanitation,2010,0.01909,38043.19805,Open defecation
m49,Europe,urban,Sanitation,2010,0.00115,6198.84358,Open defecation
m49,Europe,total,Sanitation,2010,73.61237,542091042.2118,Safely managed service
m49,Europe,rural,Sanitation,2010,45.90929,91478785.72537,Safely managed service
m49,Europe,urban,Sanitation,2010,76.79214,412491368.25791,Safely managed service
m49,Europe,total,Sanitation,2010,3.7614,27699432.58397,Unimproved
m49,Europe,rural,Sanitation,2010,10.02251,19970847.86722,Unimproved
m49,Europe,urban,Sanitation,2010,1.4388,7728581.18827,Unimproved
m49,Europe,total,Drinking water,2010,6.28074,46252214.75565,Basic service
m49,Europe,rural,Drinking water,2010,12.37315,24654713.90303,Basic service
m49,Europe,urban,Drinking water,2010,4.02073,21597501.1867,Basic service
m49,Europe,total,Drinking water,2010,0.55406,4080161.83259,Limited service
m49,Europe,rural,Drinking water,2010,0.61214,1219756.27513,Limited service
m49,Europe,urban,Drinking water,2010,0.53251,2860405.57414,Limited service
m49,Europe,total,Drinking water,2010,92.18553,678866248.03859,Safely managed service
m49,Europe,rural,Drinking water,2010,84.24463,167865745.29442,Safely managed service
m49,Europe,urban,Drinking water,2010,95.13126,511000504.97768,Safely managed service
m49,Europe,total,Drinking water,2010,0.03497,257494.82816,Surface water
m49,Europe,rural,Drinking water,2010,0.02311,46043.70468,Surface water
m49,Europe,urban,Drinking water,2010,0.03937,211451.12421,Surface water
m49,Europe,total,Drinking water,2010,0.9447,6956868.54502,Unimproved
m49,Europe,rural,Drinking water,2010,2.74697,5473617.81544,Unimproved
m49,Europe,urban,Drinking water,2010,0.27613,1483247.00367,Unimproved
m49,Europe,total,Sanitation,2011,21.29872,157152781.08687,Basic service
m49,Europe,rural,Sanitation,2011,43.05927,85364768.05636,Basic service
m49,Europe,urban,Sanitation,2011,20.39453,110049131.75995,Basic service
m49,Europe,total,Sanitation,2011,0.92989,6861214.37452,Limited service
m49,Europe,rural,Sanitation,2011,0.9962,1974969.93008,Limited service
m49,Europe,urban,Sanitation,2011,0.90553,4886244.46235,Limited service
m49,Europe,total,Sanitation,2011,0.00512,37772.6202,Open defecation
m49,Europe,rural,Sanitation,2011,0.01633,32366.40527,Open defecation
m49,Europe,urban,Sanitation,2011,0.001,5406.21559,Open defecation
m49,Europe,total,Sanitation,2011,74.14525,547081199.35588,Safely managed service
